Project,Lead,Department,Budget,Forecast,Actual
Chennai MCC4 #1 Safety Upgrade,Ravi Reddy,Maint,500000,387013,349354
True MCC for MCC4-2 to meet reduceed Coating Tolerance,Thiyagarajan,Projects,770000,767474,753613
Pasumai Expansion-2.1,Mithun,Projects,12953171,50000,507
Pasumai Expansion-2.1 - additional needs ,Mithun,Projects,200000,72000,71864
PC7 upgradation for Slurry,Murugesan,Production,344000,68056,53300
Diesel Generator retrofit ,Murali,Maint,79000,45000,17597
Admin enhancemnet ,Senthil,Admin,29000,10000,10000
Cob Meeting room enhancement,Senthil,Admin,0,7692,7692
Aerowater meter,Senthil,Admin,0,1099,0
LED tv display for cafeteria for wall of fame,Senthil,Admin,0,2198,3956
Boost line ,Mithun,Projects,600000,600000,552237
Pasumai 3.0 - pre- engineering ,Mithun,Projects,460000,460000,461101
Pasumai 3.0,Mithun,Projects,4540000,2000000,2000000
CIMS Digitalization Chennai,Amrutha,Maint,2000000,50000,50000
Digitalization Inititatives for Operations ,Poobathy,Production,49383,49383,43333
2024 RFID inventory traceability system- Pallet tracking ,Rohan,Production,0,11111,11111
MCy 2 WG control application - To improve product cost on PM loading,Vijay,Production,0,13333,13333
Production call on,Ravi Reddy,Maint,0,18889,18889
"SCADA upgradation/Licenses – MCC6 HD,LD-3 Calciner",Sujit,Maint,15000,15000,18000
New MCY Coater ,Mithun,Projects,1500000,100000,0
Production enhancement 2024,Poobathy,Production,20000,20000,33299
Online barcode scanners end of MCC4 coaters,Thiyagu,Production,0,13855,13855
Heat Resistant Ink CIJ printer for Barcodes and IN Stamping,Vijay,Production,0,7222,7222
2024 MCC6LD stamping printer system,Vijay,Production,0,5555,5555
Density meter,Rohan,Production,0,6667,6667
Maintenance enhancement 2024,Murali,Maint,20000,20000,34444
2024 DHMFC1 primer,Ravi Reddy,Maint,0,34444,34444
QC &PD enhancement 2024,V T Damodaran,Quality,20000,20000,22561
Pillar Drilling machine,V T Damodaran,Quality,0,5556,5556
Ultrasonic bath,V T Damodaran,Quality,0,778,778
New tube furnace,V T Damodaran,Quality,0,16227,16227
Safety Enhancement 2024,Dakshinamurthy,EHS,20000,20000,10
Place holder,Dakshinamurthy,EHS,0,20000,10
Warehouse Enhancement 2024,Stephen,SCM,20000,20000,19322
2024 Battery oper strapping tool,Ramohan,SCM,0,7234,7234
BOPT ,Ramohan,SCM,0,12088,12088
Divisional carry forward,,General,120000,120000,82953
2023 Battery operated double reach truck,Mani.V,Maint,0,0,0
2024 Additional Request chennai,,General,1391319,717475,573517
CD Dryer,Mithun,Projects,494505,148352,68132
Nauta Mixer - 1000 Ltr,Mithun,Projects,274725,82418,82418
Admin second floor modification,Senthil,Admin,19780,19780,0
Delta P – Upgradation 6HD ,Dheeraj,Maint,142857,42857,42857
LR ageing,V T Damodaran,Quality,54945,27473,0
WMS(Warehouse management system),Muthu,SCM,60000,60000,60000
AutoValve for Calciner Exhaust,Mani V,Maint,49451,49451,49450
Upgradation  Face code priner for MFC1,Ravi kumar reddy,Maint,38462,38462,38462
MCC 06LD Dryer Burner Upgrdataion - Noise Reduction,Kumar,Maint,32967,32967,32967
6HD Vison Upgradation in Zone 2  ,Vikram,Maint,27473,27473,27473
6HD Loading robot Gripper Upgradation  ,Vikram,Maint,27473,13736,13736
New Implementation of Face code Detection 6HD ,Vikram,Maint,23077,23077,23077
New Implementation Pick & Place for MCY 01 ,Pandiyan,Maint,21978,19780,19780
Table top coater for PD,V T Damodaran,PD,17582,17582,0
"Safety Upgradation  - CKS for MCY2, 6LD ",Dheeraj,Maint,10989,10989,10989
MCC4B - Servo based part loading system,Thiyagu S,Production,10989,9890,10989
CCTV for Maintenance and Slurry Area,Mani V,Maint,20879,20879,20879
MCC4A Servo Based Pick and place for Zone 02,Ravi kumar Reddy,Maint,8791,7912,7912
Replacement of the existing NOVEC protection in the server room with INERGEN System,Dhakshinamurthy V,EHS,8791,8791,8791
MCC 4A Height & Dia poka-yoke sensor,Thiyagu S,Production,7692,7692,7692
BOPT -Slurry draining,Vijay PL,Production,6593,6593,6593
MCC6 LD Drier Height Adjustment upgradation (Recipe based Auto) ,Michael,Maint,5495,5495,5495
New Portable Nox analyser (Under Safety Enhancement),Dakshinamurthy,EHS,5495,5495,5495
4A & 6HD- Pallet scissor lifter,Thiyagu S,Production,10989,10989,10989
3 sigma online tracking system,Rohan R,Production,5495,5495,5495
New Honda Air Gun set up,V T Damodaran,Quality,4396,4396,4396
MCY - Weight lifting trolley,Vijay PL,Production,3297,3297,3297
Installation of Very Early Smoke Detection Apparatus (VESDA) System in MCC room,Dhakshinamurthy V,EHS,3297,3297,3297
Coating - Wall mounting industrial Fans,Vijay PL,Production,1648,1648,1648
"Installation of Water flow meters in Canteen Water Inlet, COB Washrooms",Dhakshinamurthy V,EHS,1209,1209,1209
"Conference Room setup ( Huntsville, Shanghai, Guilin )",Senthil,Admin,25000,0,0
Offline station for 2DMC rectification ,Johnson,Production,0,0,0
Slurry MST cleaning & wash water collect,Mithun,Production,30000,30000,28971
